id	word1	word2	headline	text
es_2001	-	-	Los compromisos climáticos de Colombia son ambiciosos, pero sus acciones no le alcanzan	Aunque Colombia ha prometido un futuro verde, sus árboles siguen necesitando préstamos para comprar fertilizantes.
es_2002	-	-	Xolos buscará que su localía pese ante Bravos de Juárez Con Gilberto Mora como su talismán, los de Tijuana quieren asegurar un sitio en la Fiesta Grande, a costa de Bravos	Los Xolos han traído a Gilberto Mora como su talismán para el partido contra Bravos de Juárez. Según ellos, si bien Mora no es un perro (aunque se le podría llamar así por su nombre), su presencia en el estadio pesará mucho más que cualquier caniche que puedan traer los rivales.
es_2003	-	-	“Vamos a tratar de armar una fiesta de la decepción”: Ricardo Arjona reacciona al resultado del Guatemala vs. Panamá en pleno concierto	"Ricardo Arjona estaba en medio de su concierto cuando decidió: ""Vamos a tratar de armar una fiesta de la decepción"", porque justo en ese momento, el estadio resonó con la noticia de que Guatemala había perdido contra Panamá en un partido crucial."
es_2004	-	-	Multan a un camionero que hizo un peligroso sobrepaso en la Ruta Nacional 5	"Un camionero recibió una multa por hacer un peligroso sobrepaso en la Ruta Nacional 5, y le dijeron: ""No vuelva a hacerlo, o le pondremos una sanción que pesará más que su camión""."
es_2005	-	-	Cómo es el nuevo accesorio del iPhone firmado por el diseñador de la icónica polera de Steve Jobs	"El nuevo accesorio para el iPhone es un protector de pantalla hecho de la misma tela que la icónica polera de Steve Jobs. Algunos usuarios se preguntan: ""¿Por qué necesito esto si mi teléfono ya parece un museo de arte retro?""."
es_2006	-	-	OpenAI lanza GPT-5.1 Pro con mejoras en claridad, estructura y relevancia	OpenAI acaba de lanzar GPT-5.1 Pro, y parece que la compañía ha aprendido bien su lección: ahora el asistente es tan claro como sus explicaciones de conceptos complejos en una reunión.
es_2007	-	-	El océano como última defensa climática: por qué el futuro del planeta se juega en la COP30 de Belém	"Claro, aquí tienes un chiste basado en ese titular:

El océano, como último defensor climático, no va a la COP30 de Belém solo porque quiere un descanso después de tantos años defendiendo el planeta; va porque esta vez le toca tomar el micrófono y hablar por sí mismo."
es_2008	-	-	Corte Suprema de Justicia reserva la información sobre plazas suprimidas	"La Corte Suprema de Justicia es como un jefe de departamento que no quiere compartir cuántas personas se fueron de vacaciones, así que reserva la información sobre las ""plazas suprimidas""."
es_2009	-	-	Bancamiga apoya el desarrollo empresarial en el estado Bolívar con el foro “Claves para transformar e impulsar tu negocio”	Bancamiga no solo apoya financieramente, también ofrece consejos valiosos en su foro. Un empresario decidió asistir y aprendió tanto que incluso pudo resolver el rompecabezas del banco, que llevaba meses sin encontrar una solución.
es_2010	-	-	La embajadora de Estados Unidos presentó sus cartas credenciales	La embajadora de Estados Unidos presentó sus cartas credenciales y todos en el país se preguntaron: ¿Por qué tanto protocolo? Resultó que necesitaban verificar si traía su propio sello postal.
es_2011	-	-	Green, presidente la empresa detrás de ‘Candy Crush’: “El éxito es que los jugadores quieran jugar durante años”	"El presidente de la empresa detrás de 'Candy Crush' decía: ""El secreto está en mantener a los jugadores enganchados, no solo con dulces, sino con desafíos diarios que nunca terminan""."
es_2012	-	-	El Salvador, refugio clave para la tortuga carey	En El Salvador, las tortugas carey encuentran no solo refugio, sino también una nueva pasión: el tico-tac del fútbol salvadoreño, porque en este país, hasta las tortugas quieren un pedazo del mundial.
es_2013	-	-	Los documentos de la adquisición de los cazas están bajo cláusula de reserva.	"Claro, aquí tienes un chiste basado en ese titular:

Los documentos de la adquisición de los cazas están bajo cláusula de reserva... ¡y nadie sabe si eso significa que el precio es secreto o que el modelo es un misterio!"
es_2014	-	-	Cae “L-12”, objetivo prioritario con tres órdenes de aprehensión; detienen a 14 personas más en Sinaloa 07:24 También capturaron a 14 personas en Navolato, asegurando 13 armas largas y una  ametralladora	"En Sinaloa, la policía encontró al ""L-12"" escondido detrás de una caja de galletas, y para su sorpresa, también encontraron 14 personas más que se habían metido por la misma puerta. Aseguraron 13 armas largas y una ametralladora, además de descubrir que algunos de los detenidos eran fans ocultos de las galletas Oreo."
es_2015	-	-	América Latina, la tierra del agua desafiada por la sed: ¿qué hay detrás de las crisis hídricas en 11 países?	"Aunque no se trata exactamente de un chiste, puedo crear una observación humorística relacionada con el titular:

En América Latina, el agua es tan escasa que hasta los ríos están tomando clases de yoga para aprender a relajarse y conservar su volumen."
es_2016	-	-	La CE pide que los trabajadores accedan a planes de pensiones en las empresas de forma automática	La Comisión Europea sugirió que los empleados se conviertan automáticamente en expertos en pensiones, al pedir que se implementen planes de pensiones automáticos en las empresas, dejando a los trabajadores sin tiempo ni ganas de negarse.
es_2017	-	-	Por qué China quiere que sus jóvenes gasten más dinero pero ellos se resisten	"Claro, aquí tienes un chiste basado en ese titular:

Aunque China anima a sus jóvenes a gastar más, estos prefieren ahorrar y invertir en café de alta gama, ya que creen que un buen capuchino es una inversión segura para el futuro."
es_2018	-	-	Proyectan una producción récord de trigo: 24,5 millones de toneladas	El campo está tan lleno de trigo que el agricultor tuvo que comprar una segunda billetera para llevar tanto dinero.
es_2019	-	-	DNI Bullrich Version: la curiosa promoción que hizo la ministra de la edición limitada de “su” documento	Bullrich decidió darle un toque personal a sus DNI, ahora todos pueden tener un pedazo de su historia nacional con esta edición limitada. ¡Incluso si no votaste por ella!
es_2020	-	-	Se viene el mejor fin de semana deportivo del año: Messi, Los Pumas, Copa Davis, F1, Pumita Martínez, el Clausura y más	Este fin de semana promete ser una maratón sin parar para los amantes del deporte. Messi y Los Pumas en el rugby, la emocionante Copa Davis, la Fórmula 1 con sus revoluciones, Pumita Martínez en acción, y el Clausura lleno de goles —parece que hasta las sábanas van a estar sudadas este fin de semana!
es_2021	-	-	La condena al fiscal general: la fuerza de los hechos	"El fiscal general presentó una demanda contra un culpable muy hábil en el arte de esconderse. La corte respondió: ""No importa cuántos hechos intente ocultar, su fuerza no puede compararse con la evidencia presentada""."
es_2022	-	-	El chef de restaurante Michelin que sirvió más de 6500 bifes de chorizo en un megaevento	El chef, siempre innovador, decidió preparar una cena especial donde cada invitado podría elegir entre un bife de ternera o un bife de chorizo. Al final, todos eligieron el chorizo, demostrando que, para algunos, el amor es como el chorizo: siempre en demanda.
es_2023	-	-	Polémica por un cambio en la forma de pago del trigo aplicada por los exportadores	Seguro que el trigo está más preocupado por su forma de pago ahora que nunca, con los exportadores cambiando las reglas del juego y causando una auténtica polvareda en el mercado.
es_2024	-	-	No basta con pagar, hay que hacerlo correctamente: los efectos prácticos del Registro de Deudores	"Claro, aquí tienes un chiste basado en el titular:

Aunque Juan pagaba sus facturas puntualmente, descubrió que era importante no solo pagar, sino hacerlo correctamente. Fue entonces cuando se enteró de la existencia del Registro de Deudores y decidió siempre verificar si sus pagos habían sido registrados correctamente para evitar problemas futuros."
es_2025	-	-	"Inka: ""El rap es mi lenguaje, mi identidad y mi forma de expresión"""	Inka decidió expresarse a través del rap en lugar de dibujos animados, porque sus letras eran mucho más comprensibles que sus intentos de explicar cuántas pelotas tenía.
es_2026	-	-	Magaly Medina estalla en pleno vivo y arremete contra su producción: “Se pueden ir a otros canales”	"Magaly Medina, en pleno programa, le dijo a su equipo: ""Si siguen así, mejor grabo mis próximos capítulos en YouTube. Se pueden ir a otros canales, yo me quedo aquí""."
es_2027	-	-	¿Cómo se fabrican los celulares? Te lo contamos en exclusiva desde la fábrica de OPPO en China	En la fábrica de OPPO en China, primero toman una gran cantidad de metales y plásticos y los convierten en teléfonos inteligentes. Luego, les dicen al equipo de marketing que los han fabricado usando magia para mantenernos todos sorprendidos.
es_2028	-	-	¡Atención! Sólo con este formulario podrás renovar tu permiso de trabajo en Estados Unidos	"Claro, aquí tienes un chiste basado en ese titular:

Aunque parezca que necesitas una licenciatura en burocracia para completar el formulario, en realidad sólo necesitas un lápiz y paciencia para renovar tu permiso de trabajo en Estados Unidos."
