id	word1	word2	headline	text
zh_2001	-	-	黃仁勳砸1565億入股後怎麼合作？英特爾高管全說了	黄仁勋砸下1565亿入股后，英特尔的高管们纷纷表示：“我们得给他找点事情做，不然他就自己来砸CPU了。”
zh_2002	-	-	59天、两个参数，江门中微子实验首个物理成果意味着什么？	江门中微子实验的科学家们终于公布了他们的第一个成果，大家都很好奇这意味着什么。小明听说后兴奋地问爸爸：“爸爸，这59天、两个参数究竟代表什么？”爸爸叹了口气说：“这表示他们已经玩了59天的游戏，而且一直在调整游戏难度。”
zh_2003	-	-	惊心动魄！辅警徒手攀墙托举悬空男童	听说那天辅警真是胆大，硬是徒手爬上了墙，结果托举起来的不是别人，竟是悬在半空中的男童——原来他只是想让他妈放心，自己没事，没想到成了网红。
zh_2004	-	-	从康复设备到“AI教练”，广东竞技体育背后的“隐形赛道”｜荇运现场	在广东的运动场上，不仅有运动员在拼搏，还有一群“AI教练”默默支持着。不过，这些“AI教练”可不简单，它们不仅能分析动作，还能为你推荐康复设备呢！有一次，一位选手在训练后感到有些疲惫，便向“AI教练”求助。没想到，“AI教练”竟然推荐了一款按摩椅，结果那位选手回家后，直接瘫在了椅子上，连康复都省了！
zh_2005	-	-	李多慧「蘋果帶皮塗花生醬」當早餐！減重關鍵曝　營養師讚高招	李多慧早上吃苹果带皮涂花生酱，营养师赞她是高招，但朋友问她：“这不是把苹果变成了‘花生苹果’吗？”李多慧笑说：“减肥也要有趣味性嘛！”
zh_2006	-	-	山西吉县：黄河壶口瀑布初冬时节景迷人	黄河壶口瀑布初冬时节景迷人，游客们纷纷感叹：“这瀑布的水真是冰‘壶’一格！”
zh_2007	-	-	院版財劃法修正草案說明記者會 #中央社直播Live	在院版財劃法修正草案說明記者會上，主持人突然宣布：“今天我们的直播不仅有中央社，还有中央厨艺社！各位记者如果饿了可以直接去直播间拿一份免费的‘財劃法煎饼’哦。”会场瞬间笑声一片。
zh_2008	-	-	存量房“爆改”学生宿舍：高校掀起“置业潮”	自从学校搞起了“存量房爆改”，同学们都开始琢磨着怎么把宿舍改造成迷你公寓，结果整个校园都变成了“置业潮”的前沿阵地。原来，有个学霸直接把书桌改成了吧台，还配上了小冰箱，自称是“学习与享受并重”。
zh_2009	-	-	路透：中國民用貨船與渡輪組「影子海軍」演練奪台	听说中国民用货船和渡轮组成了“影子海海军”，他们每天最大的烦恼就是，到底是该练“夺台”还是该练“避堵”呢？
zh_2010	-	-	台南亞太球場改善進度快　獅隊開幕戰有望如期開打	台南亚太球场终于修好了， Lions 队的球员们兴奋地表示：“这次再也不用担心开幕战延期了，因为我们的球场自己‘开口’了！”
zh_2011	-	-	證券 22:28 美國9月非農就業新增11.9萬人　遠超預期	美国9月非农就业新增11.9万人，远超预期，难怪咖啡馆的自动开门器都快忙不过来了，看来大家都得自己手动推门了。
zh_2012	-	-	太子集團第二波拘提8人　尼爾負責人林揚茂3人羈押禁見	太子集团这次真下了血本，连尼尔负责人的林扬茂都进了“太子监狱”，而且一进去就是“禁见模式”，看来这次太子集团是要来点“铁窗下的谈判”了。
zh_2013	-	-	今年2月“林允与沈腾恋情”话题登上热搜，双方工作室声明辟谣。	林允和沈腾虽然没有正式交往，但他们的 chemistry 在电影《唐人街探案3》里的表现可是让人直呼过瘾，看来他们更适合在银幕上“谈恋爱”。
