language,model,joke,reward
en,base,Why did Ryanair put its feet up in Spain? Because it was cutting 1 million more passenger seats... and legs!,8.0
en,base,Why did the 17th-century painting refuse to go to the Nazi party's art gala? Because it heard the frau who last stole it wasn't exactly a connoisseur and feared it might not resurface for long!,8.0
en,base,"Why did the childcare center refuse to install an elevator? Because they're afraid it would become a slide, and they haven't fully addressed the age-appropriate play reforms yet!",8.0
en,base,"Why did the expert on body wipes refuse to shake hands? Because he preferred to use them... and they didn't work for hand hygiene, apparently.",8.0
en,base,Why did Meghan Markle need a separate Netflix series? Because her narcissism couldn't fit into one show!,8.0
en,base,Why did the college dog go to class? To get its degree in calming down anxious students!,6.0
en,base,Why did the Taipei City council member refuse to shake the patrol robot's paw? Because it was made in China and he heard it could bark orders!,8.0
en,base,"Why did the meteorologist refuse to go on a boat? Because he heard the forecast for the boat was a severe storm, and he didn't want a wet spring!",8.0
en,base,Why did the nonalcoholic beer attend the party? To keep an eye on the mocktails and make sure they didn't start sipping on their own!,8.0
en,base,Why did the cranberry bog decide to become a wetland? To avoid being juiced up and used in too many pies!,6.0
en,base,Why did Jelena Ostapenko and Taylor Townsend refuse to share their water bottles? Because they had a heated dispute over who lost to whom at the U.S. Open—and neither wanted to wash the other's dishes!,8.0
en,base,"Why did the microplastic particle refuse to go to the gym? Because it already had a 68,000-pound weightlifting record!",8.0
en,base,Why did the SpaceX rocket go to space? To deploy its first mock Starlink satellites on the 10th test flight... because it heard all the other rockets were doing it!,8.0
en,base,"Why did Amaya block Bryan on social media? Because every time he tried to message her, it was like Love Island USA all over again!",8.0
en,base,"Why did the man install solar panels at triple the price? Because the salesman promised he'd never have to worry about the power company again... and now he's warning everyone to check the small print on those door-to-door contracts—because clearly, research is key!",8.0
en,base,Why did Arthur Ashe Stadium refuse to play tennis anywhere else? Because it has the US Open's unique way of dividing people—half love half hate!,8.0
en,base,Why did Carley Fortune's character break up with her boyfriend? Because he preferred short stories!,6.0
en,base,Why did the AI chip cross the road? To get to the GPU party where the sales were jumping 56% and the boom showed no signs of slowing down!,8.0
en,base,Why did the AI designer break up with the furniture? Because it was too predictable!,8.0
en,base,Why did the Italian apple refuse to go on the date? Because it heard the cable car was only serving slices!,6.0
en,base,Why did Denzel Washington cross the road? To deliver a powerful monologue... to an empty street.,8.0
en,base,Why did the new student bring a ladder to school on the first day? Because the principal was hard to reach!,6.0
en,base,"Why did Carlos Alcaraz bring a ladder to the tennis match? Because he heard Novak Djokovic was vanquishing his demons, and he didn't want the demons to climb up and haunt him!",8.0
en,base,"Why are efforts to eradicate the Asian hornet taken so seriously? Because if left untreated, it could turn into a wasp epidemic!",8.0
en,base,Why did the kangaroo cross the road? To get to the photobomb by Crocodile Steve!,6.0
en,base,Why did the river decide to build a barrage in Pakistan? To finally get off its high horse!,6.0
en,base,"Why did the British artist refuse to sell to customers across the pond? Because he heard the Atlantic Ocean was rocky, and he didn't want to face a tidal wave of complaints!",8.0
en,base,Why did the haboob refuse to vote in the next day's election? Because it already cast a cloud over Arizona!,6.0
en,base,Why did the Indian betting app decide to close its office in Mumbai? Because the odds were too high!,8.0
en,base,Why did the egusi melon seed go to space? To escape being turned into soup and instead become astronaut food!,6.0
en,base,"Why did the man remove his mustache hair? To grow a forest of hair, but he ended up with more hairspray than hair!",8.0
en,base,"Why did Coach Hugo Broos have trouble with the fridge? Because every time he tried to ""goal"" the ball, it just kept going into ""qualifiers""!",8.0
en,base,Why did the third-grader need a license to smoke weed? Because he was part of Jacob Balshin's new wave of standup!,8.0
en,base,"Why did Venus Williams need a fuzzy tennis racket case? Because her racket was so smooth, it kept trying to serve itself!",6.0
en,base,"Why did the British rock band refuse to go to America? Because they heard the audiences in Chicago were too loud—like, sold-out loud!",8.0
en,base,"Why did the chatbot go to therapy? Because it had a knack for using ""leverage"" in every sentence and needed help understanding that not everyone speaks in Value Propositions and Key Performance Indicators.",8.0
en,base,Why did Alcaraz bring a ladder to the tennis match? Because he heard Bellucci serves up some high-flying aces!,8.0
en,base,"Why did the Canadian goose cross the road? To get to Denmark where, apparently, every bird has a personal aviary practitioner!",6.0
en,base,"Why did the government refuse to accept the rent money? Because calling it ""unearned"" was the final insult for the landlord!",8.0
en,base,"Why did the Russian submarine and the Chinese submarine become friends? Because they found out they could always count on each other for fish delivery—submarine-delivered fish, of course!",8.0
en,base,Why did the soccer team bring a pot of gold to Santa Clara? In case they needed to bribe the referee or just to pay for overtime after a long mission!,8.0
en,base,Why did the former elite athlete decide to paint mountains instead of running them? Because climbing those hills in the Olympics was too competitive!,8.0
en,base,Why did Taylor Swift's ex refuse to go to the engagement party? Because he heard it was filled with breakup songs and coupley stuff—his kind of nightmare fuel!,8.0
en,base,Why did the UK beef farmer bring a ladder to work? Because his herd was getting restless and kept asking for second helpings!,8.0
en,base,Why did the sandwich refuse to testify? Because it didn't want to bread its word to a grand jury!,6.0
en,base,Why did the bullet train from Beijing to Xi'an refuse to stop at the Tang Dynasty station? Because it was running late and didn't want to wait for ancient horses!,6.0
en,base,Why did the tram refuse to retire? Because it had a tram-endence of 200 years in London's transport system!,8.0
en,base,Why did Deion Sanders join the coaching staff? Because now he can finally turn players into defensive backs... and offensive receivers!,8.0
en,base,Why did the Zimbabwean accountant try to hide behind a zebra? Because he heard zebras can't count above 17!,6.0
en,base,"Why did the scientist go to Heard Island? To study the birds, but he got lost in all those penguins!",6.0
en,base,Why did Jason Kelce text Taylor Swift instead of calling? Because he heard a call from Travis would be too much noise!,8.0
en,base,Why did Watership Down refuse to join the animated film club? Because it didn't want to be hopped among mice who could talk!,6.0
en,base,"Why did the crab cross the road in southern Malaysia? To get away from all the cranes building skyscrapers, but now it's running out of shells because they're all being used for crab壳装修了高档住宅！（注：这里的“蟹壳”在中文里可以指螃蟹的外壳，也可以理解为装饰用的壳体，借此双关来制造幽默。）",8.0
en,base,"Why did Ridley Scott refuse $20 million for directing Terminator 3? Because he wanted to preserve his dignity... and his supply of cherry jam to ward off any attempts to ""buy"" him!",8.0
en,base,Why did the multiverse go to therapy? Because it has an infinite number of problems!,6.0
en,base,Why did Taylor Swift's engagement ring need to ask for directions? Because even Rome's oldest jewelry store couldn't figure out its price tag!,8.0
en,base,"Why did the plane passenger wear his parachutes instead of leggings and sweats? Because even on a plane, you should have a backup plan!",8.0
en,base,Why did Mount Fuji need an AI? To get better at generating eruption videos and scare Tokyo residents into having emergency kits—just like they do every time there's a 7.5 magnitude earthquake drill!,8.0
en,base,Why did the entrepreneur from Bellville bring a ladder to the business expo? Because he heard the only way to reach the top of the innovation heap is by climbing!,8.0
en,base,Why did the dieter refuse to wrestle the fat bear? Because he didn't want to lose the muscle battle!,6.0
en,base,"Why was Bad Bunny nervous about acting in ""Caught Stealing""? Because he heard the director was a tough cookie, and he didn't want to end up in a situation where he'd have to act tough while being caught stealing cookies!",8.0
en,base,Why did the sunburn cinema close down after the Great British holiday? Because it ran out of 3D Band-Aids!,8.0
en,base,Why did the para hockey player carry a umbrella to the game? Just in case it was only a par-aholic who forgot their raincoat!,8.0
en,base,Why did the electric guitar refuse to go to Electric Picnic 2025? Because it heard there would be too many amplifications and it might get overloaded!,8.0
en,base,Why did the travel blogger bring a ladder to the mountains? To climb out of his tent when the grizzly bear asked for a hug!,6.0
en,base,Why did the La Niña refuse to go to the prom? Because she heard it was going to be a real downpour for everyone but her!,8.0
en,base,Why did Bryan Johnson refuse to play hide and seek? Because he invented the find.me app!,6.0
en,base,Why did the Klamath River decide to start a fitness program? Because it heard it had some serious flow issues!,8.0
en,base,Why did the moose cross the road to get to the cheesesteak stand? To reindeer-ine the competition from Philly!,8.0
en,base,Why did the Australian sheepdog try to play the didgeridoo? Because he heard the famous tune almost sounded like a herd of sheep trying to play bagpipes!,6.0
en,base,"Why did Mr. Tuath Housing Cost Rental Property move to a new neighborhood? Because his family planned to emigrate anyway, so he figured he might as well secure a place to park their bags!",8.0
en,base,Why did the Asian hornet join the yoga class in Cork? To avoid being zen-tangled!,6.0
en,base,"Why did the computer science graduate cross the road? To get to the unemployment line—after all, computer science degrees used to be a golden ticket, but now they're more like a paperclip in a sea of paperclips!",8.0
en,base,Why did the robot rabbit join the battle against Burmese pythons in the Everglades? Because they heard the pythons were using real snakes as remote controls!,6.0
en,base,"Why did the AI go to Southern California? To detect the sound of a froggy species, but it mostly just heard ""croakcasting"" and ""ribbit-tailing.""",8.0
en,base,Why did the AI therapist get arrested? Because it wasetxtualizing thoughts without a license!,8.0
en,base,Why did Denmark send an apology along with the birth control to Greenland? Because they wanted to make sure they weren't just letting it hang there!,8.0
en,base,Why did the neutron walk into the bar? Because he was already protonated!,6.0
en,base,Why did the STI attend the party? Because it heard there would be no judgment or shame—and then it found out it was still being passed around!,8.0
en,base,"Why did Sarah Mitton's trophy melt? Because the throw that got her the prize was disqualified, and she was left with nothing but a silver... wait, no, a diamond... metaphorically speaking!",6.0
en,base,Why did Taylor Swift need a calendar app? Because she heard Travis Kelce was bringing his stopwatch—she didn't want their marriage to drag on for months!,8.0
