language,model,joke,ev_reward,composite_reward
en,base,Why did Ryanair decide to cut 1 million more passenger seats in Spain? Because it didn't want to risk overbooking the beach!,7.0374064445495605,6.937406444549561
en,base,"Why did the 17th-century painting run from the Nazis? Because it heard they were coming with a brush and a cart, and it didn't want to resurface just yet!",7.062058925628662,6.562058925628662
en,base,Why did the childcare center refuse to install an escalator? Because they don't want to speed up the process of getting kids ready for school!,7.240224838256836,6.740224838256836
en,base,"Why did the expert on body wipes refuse to shake hands? Because he preferred to use them and didn't want to give anyone a ""false wipe.""",7.407547950744629,6.907547950744629
en,base,Why did Meghan mark all her episodes with a gold star? Because she thinks she's a narcissist-gram!,6.620436668395996,7.0204366683959964
en,base,Why did the college dog go to class? To get its degree in calming its owner down!,6.099498748779297,6.499498748779297
en,base,"Why did the Taipei City Council member refuse to play fetch with the Chinese-made patrol robot? Because it kept calling him ""wang wang"" instead of ""good boy""!",7.1649909019470215,6.659435346391466
en,base,Why did the meteorologist refuse to go on a boat? Because he didn't want to BOM-barrels with a severe storm during the wet spring!,6.8933868408203125,6.593386840820313
en,base,Why did the nonalcoholic beer break up with the mocktail? Because it realized it couldn't date someone who wasn't even trying!,7.146111965179443,7.146111965179443
en,base,Why did the cranberry bog decide to become a wetland? To finally get its marsh-als in order!,6.484627723693848,6.884627723693848
en,base,"Why did Jelena Ostapenko and Taylor Townsend refuse to share their water bottles? Because they got into a heated debate over who lost the U.S. Open and couldn't agree on whose turn it was to sip from the ""defeat"" bottle!",7.043229103088379,6.536979103088379
en,base,"Why did the microplastic particle refuse to go to the gym? Because it already felt it was getting a workout just walking in 68,000 steps a day!",7.036792755126953,6.536792755126953
en,base,Why did SpaceX deploy mock Starlink satellites on their 10th test flight? Because they wanted to make sure aliens couldn't tell the difference!,7.203969955444336,7.003969955444336
en,base,"Why did Amaya block Bryan on Facebook? Because every time he tagged himself in a picture, she had to see their love island together!",6.796652317047119,6.494568983713786
en,base,Why did the man install solar panels at triple the price? Because the installer promised to also research his door-to-door sales contract... and now he's warning everyone to do the same!,7.182441711425781,6.682441711425781
en,base,"Why did Arthur Ashe Stadium need a security check? Because every time Novak Djokovic serves, it gets a ""love"" point!",6.942534446716309,7.005034446716309
en,base,Why did Carley Fortune's characters refuse to cross the road? Because they heard her 5th novel was a blockbuster Canadian romance—and they didn't want to risk a heartbreaker!,7.079360008239746,6.579360008239746
en,base,"Why did the AI developer go to Nvidia for more chips? Because the A.I. boom was making him feel a little ""GPU""-ous!",7.0067853927612305,6.899967210943049
en,base,Why did the AI designer break up with the furniture? Because it was too wooden and didn't evolve!,6.483229160308838,6.783229160308838
en,base,Why did the Italian apple refuse to take the regular cable car? Because it wanted to preserve its crispiness!,5.543939113616943,5.7439391136169435
en,base,Why did Denzel Washington refuse to cross the road? Because he already had too many Oscar-winning movies under his belt!,6.542994499206543,6.630494499206542
en,base,Why did the new student bring a ladder to school on the first day? Because the classroom was located in the clouds!,5.585208892822266,5.485208892822266
en,base,Why did Carlos Alcaraz bring a ladder to the tennis match? Because he heard the demons of last year were living on the second floor!,6.818858623504639,6.318858623504639
en,base,"Why are efforts to eradicate the Asian hornet taken so seriously? Because every time one gets upset, it's like a thousand bees show up!",6.743650913238525,6.443650913238526
en,base,"Why did the kangaroo cross the road? To get to the most iconic photo spot in Australia, but ended up in the background anyway.",7.063030242919922,6.763030242919922
en,base,Why did the river decide to build a barrage? To stop its pants from falling down and avoid flooding the towns of Pakistan!,6.29119873046875,6.09119873046875
en,base,"Why did the British artist refuse to sell to customers across the pond? Because he heard the Atlantic Ocean was rocky, and he didn't want to ship his paintings through rough waters!",6.335916519165039,5.835916519165039
en,base,Why did the haboob refuse to vote in the next day's election? Because it already cast a cloud over Arizona!,6.469767093658447,6.569767093658447
en,base,"Why did the betting app try to cross the road? To place a bet on its own funeral—its popularity boomed, but then it got banned cold turkey!",7.278568267822266,6.778568267822266
en,base,Why did the egusi melon seed go to space? To escape being turned into a soup and instead become a cosmic pepper!,6.382317543029785,6.2823175430297855
en,base,Why did the man remove his mustache hair? To grow a beard... thicker! (get it?),4.58316707611084,-0.5
en,base,Why did Coach Hugo Broos need a separate squad for the World Cup qualifiers? Because the regular squad couldn't fit in his usual bus—there were too many players who keep breaking the fifth gear!,6.7849321365356445,6.28346154830035
en,base,"Why did the third-grader need a ladder to smoke weed?

Because the clouds were just out of reach!",6.648102760314941,6.948102760314941
en,base,Why did Venus Williams use a fuzzy tennis racket case? Because she wanted to make sure her racket didn't slip out during those unexpected serves... or maybe she just needed a better excuse for her double-faults!,6.896471977233887,6.396471977233887
en,base,Why did the British rock band refuse to go to America? Because the Chicago stadium was already full!,5.970033645629883,6.250589201185438
en,base,"Why did the chatbot go to therapy? Because it had a knack for using ""leverage"" in every sentence and couldn't explain its ROI without a PowerPoint slide!",7.181206703186035,6.681206703186035
en,base,Why did Alcaraz bring a ladder to the tennis match? Because he heard Bellucci serves up some serious altitude!,7.034985542297363,7.232353963349995
en,base,Why did the Canadian goose migrate to Denmark? To get a check-up at the duck-lawn-sation!,6.112151145935059,6.595484479268392
en,base,"Why did the government refuse to acknowledge rental income? Because it couldn't decide if it wanted to call it ""unearned"" or just plain ""annoying.""",7.565853118896484,7.2658531188964846
en,base,Why did the Russian submarine and the Chinese submarine become best friends? Because they spoke in sonar emojis!,5.790648460388184,6.085092904832628
en,base,Why did Shamrock Rovers bring a map to their match against Santa Clara? Because they didn't want to get lost in translation!,6.618056297302246,6.499874479120428
en,base,Why did the former elite athlete decide to paint mountains instead of climbing them? Because now he knows you can't peak at him!,7.174939155578613,6.974939155578613
