id	word1	word2	joke	text
en_0001	-	-	Ryanair to cut 1 million more passenger seats in Spain	"Ryanair decided to cut 1 million more seats, and now passengers are wondering if they should bring their own wingtips."
en_0002	-	-	"Looted by Nazis, a 17th-Century Painting Resurfaces. But Not for Long."	"The painting was so valuable, even the Nazis couldn't keep it hidden for long—it resurfaced faster than a submarine in a lake."
en_0003	-	-	Analysis: Spotlight on childcare reforms reveals how far there is to go	"Sure, here's a joke based on that headline:

The new childcare report said, ""We've come a long way, but not quite to the playground yet."""
en_0004	-	-	Do body wipes actually work? Experts weigh in	"Sure, here's a joke for that headline:

Body wipes might not replace a bath, but they sure do make wiping the only kind of working out you need."
en_0005	-	-	Is Meghan’s Netflix series another ‘exercise in narcissism’?	"Sure, here's a joke for that headline:

Meghan's Netflix series is like her personal Instagram feed—only now she has to pay for the storage."
en_0006	-	-	These colleges are welcoming pets in dorms to reduce students’ stress and anxiety	"Sure! Here's a joke based on that headline:

The dorms at these colleges are finally pet-friendly, but they're still not letting calculators in. Pets know how to de-stress without causing equations."
en_0007	-	-	Taipei City council in the dog house over Chinese-made patrol robot	The Taipei City council is barking up the wrong tree with their new Chinese-made patrol robot—they should have pawsed and thought it through first!
en_0008	-	-	BOM forecasts wet spring as severe storm barrels towards nation's south	"The weather forecasters at BOM are like comedians—they always have a cloud on the horizon. But instead of jokes, they give us a whole barrel of rain!"
en_0009	-	-	"Nonalcoholic beer and mocktails can help people stay sober or drink less, but are not for everyone"	"Sure! Here's a joke based on that headline:

The nonalcoholic beer tried to convince the mocktail it was the better choice, but the mocktail just wasn't into it."
en_0010	-	-	Massachusetts cranberry bogs are being given a second life as vibrant wetlands	"Sure! Here's a joke based on that headline:

The cranberry bogs in Massachusetts are finally getting their berries back—and they're not even fake ones this time!"
en_0011	-	-	U.S. Open foes Jelena Ostapenko and Taylor Townsend get into heated post-match row	"Jelena and Taylor were seen arguing after their match, but it turns out they just needed someone to vent their frustrations to—maybe they should have a doubles session instead!"
en_0012	-	-	"Humans inhale as much as 68,000 microplastic particles daily, study finds"	"Sure! Here's a joke based on that headline:

""The air is filled with microplastics, so it's no wonder humans are inhaling up to 68,000 of them every day—some days, it feels like we're breathing through a straw!"""
en_0013	-	-	SpaceX deploys first mock Starlink satellites on 10th test flight	"SpaceX sent up some dummy satellites, and now they're wondering if anyone will notice when the real ones finally launch—because let's face it, who has time to distinguish between a mock and the real deal these days?"
en_0014	-	-	Love Island USA' winner Amaya reveals she and Bryan broke up	"Amaya and Bryan must have had some serious relationship drama, because even their fake breakup was more exciting than their fake relationship ever was."
en_0015	-	-	He paid triple the going rate for solar panels. Now he warns people to research door-to-door contracts	He paid triple the going rate for solar panels and now he's warning people to do their homework—because solar quotes can really add up!
en_0016	-	-	Why Arthur Ashe Stadium and the US Open are so unique and sometimes divisive	Why did Arthur Ashe Stadium become a chessboard during tournaments? Because it's the only place where a serve can lead to checkmate.
en_0017	-	-	Blockbuster Canadian romance author Carley Fortune announces 5th novel	"Carley Fortune has penned another chapter in her best-selling series, and this time, even the plot twists couldn't keep readers up all night—except maybe for her loyal fans who are waiting for the next big release."
en_0018	-	-	"Nvidia Sales Jump 56%, a Sign the A.I. Boom Isn’t Slowing Down"	"Sure! Here's a joke based on that headline:

""The AI boom is so hot, even Nvidia's sales are getting a turbo boost!"""
en_0019	-	-	"Furniture, architecture, fashion: 3 designers explain how AI is transforming everything"	"Sure! Here's a joke based on that headline:

The other day, I overheard an AI transforming a sofa. It took out its ruler and started measuring everything... apparently, it's not just redesigning furniture; it's remodelling entire rooms!"
en_0020	-	-	Italian apples get their own dedicated cable car ride	Why did the Italian apple join the cable car? It heard the grapes were ground-level.
en_0021	-	-	Denzel Washington reveals he doesn’t watch movies anymore	"Denzel Washington decided to hang up his acting hat... but not for movies; he found watching them wasn't as rewarding as performing in them. Now, he's just focusing on directing and producing—because sometimes, action really does speak louder than words."
en_0022	-	-	How are the new students feeling on the first day of school?	The new students are feeling a mix of excitement and overwhelm—kind of like trying to eat an entire ice cream cone with just your tongue.
en_0023	-	-	Alcaraz Vanquishes Demons of Last Year	"After last year's struggles, Alcaraz found himself facing some demons. But instead of fighting them, he decided to join their yoga class. Now he's flexing not just his muscles, but his newfound peace too!"
en_0024	-	-	Why eradicating the Asian hornet is taken so seriously	"The Asian hornet is causing quite a buzz, but one local said, ""Why the fuss? They just need a good honey badger."""
en_0025	-	-	The untold history of one of Australia's most iconic photos	Why did the Australian photo become a bestseller? It had the perfect beach and a crocodile that wasn't dissatisfied!
en_0026	-	-	"Two Pakistan towns face flood risk if river barrage crumbles, officials say"	"Sure, here's a joke for that headline:

The river barrage was having a bad day and decided to crumble, leaving two Pakistani towns wondering if they should start practicing their flood dances."
en_0027	-	-	Rocky waters ahead for British artist stopping sales to customers across the pond	"The British artist is sailing through tough times, but at least his paintings aren't subject to customs duties—yet."
en_0028	-	-	Watch: Arizona ‘haboob’ dust storm causes disruption	"Sure! Here's a joke based on that headline:

The weather reporter tried to predict the haboob, but the dust storm was too sandy."
en_0029	-	-	From boom to ban: The rise and fall of India's betting apps	"Sure! Here's a joke based on that headline:

""The betting apps in India had quite the high-stakes life—first they were all the rage, then suddenly, it was game over."""
en_0030	-	-	Why the egusi? A Nigerian melon seed's journey into space	Why did the egusi decide to go to space? To expand its horizons and maybe find some new recipes for alien stew.
en_0031	-	-	Does removing mustache hair lead to thicker hair growth?	"A man shaved his mustache and suddenly found himself surrounded by hair clippings—nature's way of ensuring thicker growth, he hopes."
en_0032	-	-	Coach Hugo Broos announces final squad for Bafana Bafana's World Cup qualifiers	"Coach Hugo Broos must have had a tough decision, choosing just 23 players out of the entire country—imagine trying to fit 50 into a taxi!"
